exp_19 Phase 8 n=24 workers=8 start 20260903_155724
  [74/257] parent partnered=True fold_half=9 halves=1 [71250s]
  [75/257] parent partnered=True fold_half=1 halves=4 [71250s]
  [76/257] parent partnered=True fold_half=1 halves=1 [71250s]
  [77/257] parent partnered=True fold_half=1 halves=1 [71250s]
  [78/257] parent partnered=True fold_half=1 halves=1 [71250s]
  [79/257] parent partnered=True fold_half=1 halves=1 [71250s]
  [80/257] degenerate-partner partnered=True fold_half=- halves=16 [71250s]
  [81/257] asymmetric partnered=False fold_half=- halves=4 [71250s]
  [82/257] degenerate-partner partnered=True fold_half=- halves=16 [71251s]
  [83/257] parent partnered=True fold_half=1 halves=1 [71251s]
  [84/257] asymmetric partnered=False fold_half=- halves=8 [71251s]
  [85/257] asymmetric partnered=False fold_half=- halves=1 [71251s]
  [86/257] parent partnered=True fold_half=1 halves=1 [71251s]
  [87/257] parent partnered=True fold_half=1 halves=1 [71251s]
  [88/257] parent partnered=True fold_half=1 halves=1 [71251s]
  [89/257] parent partnered=True fold_half=1 halves=1 [71251s]
  [90/257] unpartnered partnered=False fold_half=- halves=4 [71252s]
  [91/257] parent partnered=True fold_half=1 halves=1 [71252s]
  [92/257] parent partnered=True fold_half=1 halves=1 [71252s]
  [93/257] parent partnered=True fold_half=1 halves=1 [71252s]
  [94/257] parent partnered=True fold_half=1 halves=1 [71252s]
  [95/257] parent partnered=True fold_half=1 halves=1 [71252s]
  [96/257] parent partnered=True fold_half=1 halves=1 [71252s]
  [97/257] asymmetric partnered=False fold_half=- halves=2 [71252s]
  [98/257] parent partnered=True fold_half=1 halves=4 [71253s]
  [99/257] parent partnered=True fold_half=1 halves=1 [71253s]
  [100/257] parent partnered=True fold_half=1 halves=1 [71253s]
  [101/257] asymmetric partnered=False fold_half=- halves=8 [71253s]
  [102/257] parent partnered=True fold_half=1 halves=1 [71253s]
  [103/257] asymmetric partnered=False fold_half=- halves=8 [71253s]
  [104/257] parent partnered=True fold_half=1 halves=1 [71254s]
  [105/257] parent partnered=True fold_half=1 halves=1 [71254s]
  [106/257] parent partnered=True fold_half=1 halves=2 [71254s]
  [107/257] parent partnered=True fold_half=1 halves=1 [71254s]
  [108/257] asymmetric partnered=False fold_half=- halves=2 [71254s]
  [109/257] parent partnered=True fold_half=1 halves=1 [71254s]
  [110/257] parent partnered=True fold_half=1 halves=4 [71254s]
  [111/257] parent partnered=True fold_half=1 halves=8 [71254s]
  [112/257] parent partnered=True fold_half=1 halves=4 [71254s]
  [113/257] asymmetric partnered=False fold_half=- halves=2 [71255s]
  [114/257] asymmetric partnered=False fold_half=- halves=2 [71255s]
  [115/257] asymmetric partnered=False fold_half=- halves=2 [71255s]
  [116/257] parent partnered=True fold_half=1 halves=1 [71255s]
  [117/257] parent partnered=True fold_half=1 halves=1 [71255s]
  [118/257] parent partnered=True fold_half=1 halves=1 [71255s]
  [119/257] degenerate-partner partnered=True fold_half=- halves=16 [71255s]
  [120/257] parent partnered=True fold_half=1 halves=1 [71255s]
  [121/257] parent partnered=True fold_half=1 halves=1 [71256s]
  [122/257] parent partnered=True fold_half=1 halves=1 [71256s]
  [123/257] asymmetric partnered=False fold_half=- halves=8 [71256s]
  [124/257] parent partnered=True fold_half=1 halves=1 [71256s]
  [125/257] parent partnered=True fold_half=1 halves=2 [71256s]
  [126/257] parent partnered=True fold_half=1 halves=2 [71256s]
  [127/257] parent partnered=True fold_half=1 halves=1 [71256s]
  [128/257] parent partnered=True fold_half=1 halves=1 [71257s]
  [129/257] asymmetric partnered=False fold_half=- halves=8 [71257s]
  [130/257] parent partnered=True fold_half=1 halves=4 [71257s]
  [131/257] asymmetric partnered=False fold_half=- halves=4 [71257s]
  [132/257] parent partnered=True fold_half=9 halves=1 [71257s]
  [133/257] asymmetric partnered=False fold_half=- halves=16 [71257s]
  [134/257] parent partnered=True fold_half=1 halves=4 [71257s]
  [135/257] asymmetric partnered=False fold_half=- halves=4 [71257s]
  [136/257] asymmetric partnered=False fold_half=- halves=16 [71258s]
  [137/257] parent partnered=True fold_half=1 halves=2 [71258s]
  [138/257] parent partnered=True fold_half=1 halves=1 [71258s]
  [139/257] parent partnered=True fold_half=1 halves=1 [71258s]
  [140/257] parent partnered=True fold_half=1 halves=1 [71258s]
  [141/257] parent partnered=True fold_half=1 halves=4 [71259s]
  [142/257] parent partnered=True fold_half=1 halves=1 [71259s]
  [143/257] parent partnered=True fold_half=1 halves=4 [71259s]
  [144/257] parent partnered=True fold_half=1 halves=2 [71259s]
  [145/257] parent partnered=True fold_half=1 halves=2 [71259s]
  [146/257] parent partnered=True fold_half=1 halves=1 [71259s]
  [147/257] parent partnered=True fold_half=1 halves=8 [71259s]
  [148/257] asymmetric partnered=False fold_half=- halves=2 [71259s]
